Marker,CD16,CD28,CD69,Ki67,CD85j,CD38,TOX,CXCR5,CD39,Tim3,CD27,Helios,PD-1,Tbet,Eomes,CD57,LAG-3,CD26,CD95,CTLA-4,CD49d,CD103,CD127,CD45RA,TCF1,GranzymeB,GranzymeK,CCR7,TIGIT,2B4,CD34,HLA-DR,CXCR3
cluster_1,0.003359308,1.158018236,1.123598785,0.775796091,0.23715796,2.526629889,0.795826594,0.914929322,0.007555212,0.005529411,2.417957305,0.052878857,0.001767911,0.237669881,0.595660081,0.000720461,0.006868572,1.317606556,0.693468648,0.864883372,1.050009267,1.087048538,1.299605642,1.121195612,0.947091152,0.894869304,0.397126958,1.652461118,0.000580648,0.085376496,0.564287546,0.004876067,0.993816837
cluster_2,0.006478597,0.001809031,0.930325719,1.029048996,2.039047991,0.54579968,1.095546842,1.063073962,0.006960575,0.003968956,0.001591971,0.026864268,0.004200455,1.419163012,1.363977521,2.644788664,0.004638728,0.476384794,0.95968789,0.916456533,0.856359014,0.878588019,0.17474194,1.14018644,0.779180219,1.010972066,0.678982591,0.616508762,3.929517906,1.653095401,0.743959597,0.756634194,0.998704811
cluster_3,0.002362474,1.041734659,0.83151648,0.987116586,0.351261006,1.205303007,1.000310269,1.189752043,0.011186373,0.004770003,2.744503928,0.004816768,0.001316328,0.232480084,0.705815402,0.059857519,0.007210497,1.197659996,0.813729877,0.963173292,0.826604048,1.246347618,1.158751386,1.237373788,1.59908706,0.960685565,0.714675786,1.657915478,0.000673612,0.215580802,1.346062691,0.002649222,1.085260097
cluster_4,3.691934946,1.530489051,1.494372486,1.383103449,1.581709,2.945108731,1.309425479,1.394998342,0.914793624,0.013652068,1.607867006,0.032947991,0.721064036,1.485985729,1.382456452,2.019097344,0.010547001,1.587927846,1.270657861,1.249136909,1.322368442,1.393081097,1.503304605,1.278931786,1.598265806,1.272874835,1.368457872,1.431897987,1.352517121,1.839302428,1.793341995,0.978974801,1.16654183
cluster_5,0.521789618,0.85736202,1.199408283,1.373840882,2.518856145,2.529966589,1.2722761,1.648313947,8.143841772,0.018087143,0.962311567,0.028539063,0.297141048,0.987885657,1.145978442,0.675461449,0.022660867,1.039801993,1.167701635,1.166861186,1.55863896,1.31890708,1.036660685,1.234938455,1.365269647,1.194361462,1.075248033,1.36430564,0.313334302,1.438407085,1.892840853,5.543344531,1.136748251
cluster_6,15.71734014,4.08810926,1.490781351,1.151286532,3.002732504,2.546377224,1.011166839,1.439251427,9.794209452,19.8972857,1.291024272,0.002885602,4.837888391,0.981321014,1.154024934,1.128570038,19.8891883,1.795410203,1.732673947,2.161157192,3.114689436,3.636821607,3.453990974,1.051960869,1.846555342,1.324349831,1.696472533,1.833979094,2.635871555,3.81916397,4.33408854,2.709962913,1.170098961
cluster_7,0.003112937,1.102513537,1.013681024,0.92738819,0.474459563,0.538003333,1.054134962,1.084423368,0.012157942,0.004960986,0.853344994,0.008238122,2.770832533,0.949111247,1.390478991,2.176149728,0.004056103,0.531603981,1.162874942,0.985641811,0.879593726,0.665693025,0.435211458,0.927921944,0.82621057,0.997485246,1.935350572,0.741601743,2.933701961,1.33874604,0.828230585,2.449031442,1.028863037
cluster_8,0.002114738,1.529291674,0.981997558,1.03154812,0.400866308,0.083653144,1.133780842,1.157919332,0.081717846,0.003955266,1.234285425,0.009988263,0.006380989,0.664172011,0.757948367,0.017155276,0.005315254,1.627395937,1.12755142,0.913780046,0.817011182,1.091329074,1.726878807,1.007424719,1.279534133,1.012690339,0.709797755,1.120997182,0.004106922,0.403512241,1.24071947,0.004789456,1.059255568
cluster_9,0.004580878,0.003210297,0.811669287,0.313983444,0.247014311,0.019281545,0.503234896,0.465339361,0.005513136,0.003679275,0.070812512,0.009840598,0.006943982,0.595191044,0.777409288,1.498346795,0.002934199,0.477342893,0.885602525,0.868030417,0.749529633,0.549799725,0.328201232,0.816066824,0.423713461,0.865498961,1.351157129,0.409745139,0.642037385,0.662477349,0.169477339,0.297757686,0.821209095
cluster_10,0.004991199,1.683774051,0.726063793,0.528742162,0.104135284,0.419694377,0.679822472,0.747093249,0.01259768,0.004554064,2.090303489,19.63376245,2.991701775,2.575780839,0.336822383,0.271974539,0.004284215,1.226632612,0.828423619,1.164979371,0.89207618,1.065095467,1.041189587,1.070959354,1.290469299,1.030071506,1.019258321,1.460469311,0.000641715,0.009306048,0.116365812,0.003564584,1.042931394
cluster_11,0.00272344,0.0017096,0.963904584,1.061815281,2.060877193,0.003902712,1.166182207,1.164383095,0.007972871,0.003077127,0.000796683,0.013790369,0.008502674,1.42461287,1.119859321,2.586266458,0.00375426,0.470497533,0.925978419,0.786942441,0.638868637,0.696588055,0.263740209,1.053152015,0.693406518,0.976545256,0.470640325,0.636998272,0.001698737,1.030880886,0.990315824,0.003575901,0.976348312
cluster_12,0.001936512,1.351194068,0.975735101,0.905450585,0.322841364,0.087805197,1.049249165,1.012247388,0.008345469,0.003362006,1.352947527,0.042563846,2.91103221,0.872281947,1.286275419,0.05672013,0.003646966,0.540771941,0.993180396,0.846482704,0.779137092,0.688341215,0.866982735,0.906281122,0.921785832,0.928522693,1.612050694,0.848909949,2.542901414,0.886641768,0.712270824,0.326583619,0.989904072
cluster_13,0.003864578,0.002022708,0.809680214,0.842302972,2.065938419,0.542252471,1.020727851,0.614255662,0.004459023,0.002855167,0.004560652,0.038474053,3.494904576,1.330712851,1.162320871,2.727363587,0.003505951,0.357754429,0.827812908,0.769026032,0.999023278,0.55968212,0.174372872,0.809719495,0.375669103,0.862983138,0.380193122,0.352214875,2.995697421,1.235189644,0.132395962,0.477422591,0.852751761
cluster_14,0.018730956,0.001480109,0.780904402,0.927580367,2.040937441,1.635332472,1.052668016,0.978101901,0.006774079,0.003144146,0.001065579,0.017901792,0.108298012,1.424855772,1.008150059,3.085735016,0.004212385,0.457842786,0.908322411,0.910177389,0.932065366,0.680115251,0.11852291,0.978604472,0.463365481,0.967738795,0.475493878,0.599567945,0.005216275,1.244555236,0.616038295,0.420523933,0.939371503
cluster_15,0.00305881,0.794923412,0.682008622,0.61431077,0.069836265,0.852946183,0.692568941,0.704729157,0.00597099,0.004579209,1.981320074,0.006736611,0.0011186,0.151399926,0.482437829,0.000921747,0.005860993,1.036867658,0.5779315,0.788475296,0.657267293,0.784021851,0.941348198,0.991498702,1.027787423,0.806319085,0.539327677,1.525379426,0.00067935,0.136315131,0.536683722,0.002255486,0.902717339
cluster_16,0.001927701,1.505925965,0.83476258,0.697008863,0.002017653,0.001997282,0.810170698,0.133471898,0.004468971,0.003828421,0.71400578,0.028250326,0.004239263,0.542182008,0.52467898,0.000720231,0.003094216,1.414168691,0.905420885,0.891805176,0.991863942,0.81996461,1.816684553,0.467336926,0.784320119,0.89621051,0.503946094,0.746341043,0.002753131,0.125773529,0.002476323,0.00213717,0.8409572
cluster_17,0.002258125,0.44466859,0.973418713,1.023585976,0.630250565,0.476596296,1.115992727,1.179980614,0.01288236,0.004063494,0.221651883,0.007464751,0.496817578,1.039403269,1.390067198,0.33583239,0.004220048,0.567733682,1.105153024,0.822649247,0.557511281,0.729079954,0.397452521,1.052560126,1.000038879,0.982485094,1.626376184,0.798372003,2.049469183,1.058370118,1.203852877,1.829594012,1.006956298
cluster_18,0.002546568,1.746164243,1.334364977,0.921903467,0.298086575,0.060276656,1.008481032,1.037075581,0.011454317,0.005182497,0.676305809,0.022566515,0.711725364,0.923710831,1.278461839,0.001236133,0.004641292,2.6373358,1.049791125,0.99831157,0.50096539,0.52822534,1.743973358,0.888256553,0.911669009,1.012267506,1.874592853,0.731913517,0.000894468,1.04149563,0.934781869,0.004226432,0.980406922
